distance_metric,average_time,success_rate,average_mrr,carbon_emissions(g_CO2eq)
cosine,0.04070605563363911,0.6308144750166765,0.88549480033915,0.33409541835770645
dot,0.0383088304458143,0.6268419384274663,0.8849658397698978,0.31930592857678747
euclid,0.03788523203158403,0.6272041838116388,0.8865926870344054,0.309140930087695
manhattan,0.03970911359265941,0.6258543867384126,0.8863905992306083,0.324939455340177
