text_percentage,average_time,success_rate,average_mrr,carbon_emissions(g_CO2eq)
40,0.04122688149969882,0.4050890266213744,0.8205017646808165,0.3372172868666633
60,0.03812412416457472,0.6608392818740829,0.8978882733330197,0.30937574737761103
80,0.03810591811349911,0.8171079295001883,0.93919290676671,0.3190182650275001
