chunk_size,average_time,success_rate,average_mrr,carbon_emissions(g_CO2eq)
500,0.04302880152464148,0.629182288531018,0.886280330869232,0.3527355537041599
1000,0.041647307545224964,0.6277404285313524,0.8850767655009691,0.34327548226376503
1500,0.0327808147079062,0.6261135209332752,0.8862258484103449,0.2696002633038495
